date,oil_price
2018-07-02,63.5667
2018-07-01,62.9798
2018-06-30,63.5022
2018-06-29,63.509
2018-06-28,63.3923
2018-06-27,62.57
2018-06-26,60.6167
2018-06-25,58.2606
2018-06-24,59.3756
2018-06-23,59.3795
2018-06-22,59.3795
2018-06-21,56.7231
2018-06-20,56.5673
2018-06-19,56.1121
2018-06-18,56.4575
2018-06-17,55.267
2018-06-16,55.2057
2018-06-15,55.2057
2018-06-14,57.8019
2018-06-13,56.4949
2018-06-12,56.0614
2018-06-11,56.1815
2018-06-10,55.6972
2018-06-09,55.679
2018-06-08,55.6555
2018-06-07,55.9226
2018-06-06,55.91
2018-06-05,55.9147
2018-06-04,55.5709
2018-06-03,56.2825
2018-06-02,56.3189
2018-06-01,56.3141
2018-05-31,57.3726
2018-05-30,58.4148
2018-05-29,57.9146
2018-05-28,57.371
2018-05-27,57.5911
2018-05-26,57.869
2018-05-25,57.8688
2018-05-24,60.3607
2018-05-23,61.3994
2018-05-22,61.251
2018-05-21,61.4963
2018-05-20,60.9987
2018-05-19,60.6119
2018-05-18,60.6173
2018-05-17,60.8115
2018-05-16,60.5532
2018-05-15,59.9954
2018-05-14,59.6182
2018-05-13,59.1297
2018-05-12,58.9401
2018-05-11,58.9549
2018-05-10,60.0308
2018-05-09,60.1092
2018-05-08,59.0499
2018-05-07,58.748
2018-05-06,58.3594
2018-05-05,58.2842
2018-05-04,58.2944
2018-05-03,57.1162
2018-05-02,56.6727
2018-05-01,56.2482
2018-04-30,56.7211
2018-04-29,56.1278
2018-04-28,55.9664
2018-04-27,55.9664
2018-04-26,56.2655
2018-04-25,56.0482
2018-04-24,55.454
2018-04-23,56.4544
2018-04-22,55.611
2018-04-21,55.3409
2018-04-20,55.3131
2018-04-19,55.3677
2018-04-18,55.4672
2018-04-17,53.8207
2018-04-16,53.6318
2018-04-15,54.4752
2018-04-14,54.6208
2018-04-13,54.6208
2018-04-12,54.3396
2018-04-11,54.0141
2018-04-10,53.0958
2018-04-09,51.3346
2018-04-08,50.6128
2018-04-07,50.4
2018-04-06,50.4
2018-04-05,51.8709
2018-04-04,51.7971
2018-04-03,51.8071
2018-04-02,51.1713
2018-04-01,52.8115
2018-03-31,52.6687
2018-03-30,52.666
2018-03-29,52.7734
2018-03-28,52.5677
2018-03-27,52.2364
2018-03-26,52.7271
2018-03-25,53.2569
2018-03-24,53.1995
2018-03-23,53.1857
2018-03-22,52.379
